last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,batting_avg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,avg_best_speed
Neuse, Sheldon,641914,2022,27,271,58,48,4,2,4,0.214,89.1,1.5,23,3.1,2.6,27.7,13.1,49.7,38.2,98.98322245
O'Neill, Tyler,641933,2022,27,334,76,50,11,1,14,0.228,89.8,13.6,36.6,11.3,6.7,22.3,24.8,30.7,43.3,101.0281538
Tellez, Rowdy,642133,2022,27,529,116,58,23,0,35,0.219,91.1,15.3,31.4,12.9,7.3,21.4,26,28.7,46,102.5538389
Mejia, Francisco,642336,2022,26,289,70,42,22,0,6,0.242,86.8,15.7,39.1,2.7,5.8,29.8,32.4,27.1,28,96.32412266
Siri, Jose,642350,2022,26,301,64,42,13,2,7,0.213,87.2,15.4,35.1,6.2,5.2,23.7,28.9,29.9,33,99.29557579
Rosario, Amed,642708,2022,26,637,180,134,26,9,11,0.283,88.4,5,31.1,4.5,5.5,24.5,18.1,42.6,38.3,99.69020113
Adames, Willy,642715,2022,26,563,134,72,31,0,31,0.238,88.9,18.9,36.4,13,6.5,22.2,29.2,25.2,43.6,100.0990027
Estrada, Thairo,642731,2022,26,488,127,89,22,2,14,0.26,86.2,8.1,31.6,4.4,4.7,24.2,21,38.5,31.1,97.09214635
Benintendi, Andrew,643217,2022,27,461,140,109,23,3,5,0.304,89.2,12.6,39.2,5.1,6.2,30,25.1,30.8,38.7,98.21078057
Cooper, Garrett,643265,2022,31,414,108,64,33,2,9,0.261,89.6,8.8,39,10.7,8.3,26,18.3,31,43.7,101.295185
Dubon, Mauricio,643289,2022,27,243,52,38,9,0,5,0.214,84.7,16.7,28.1,2.3,5.9,22.6,33,28.1,29.9,96.43657229
Kemp, Tony,643393,2022,30,497,117,84,24,2,7,0.235,84.4,15,33.9,1.6,4.1,23.6,30,33,14.9,93.05015514
Kiner-Falefa, Isiah,643396,2022,27,483,126,102,20,0,4,0.261,86.2,4.3,29.6,1.2,4.3,26.5,18.1,43.2,30.1,96.61469272
McNeil, Jeff,643446,2022,30,533,174,125,39,1,9,0.326,86.9,12.8,39,2.7,5.2,29.8,27.5,31.2,30.2,96.27527869
Schwindel, Frank,643524,2022,30,271,62,43,11,0,8,0.229,88.1,10.2,31.6,4.7,7.9,24.7,22.8,37.2,35.5,98.51278963
Albies, Ozzie,645277,2022,25,247,61,37,16,0,8,0.247,87.1,16.9,34.8,5.4,6.9,23.5,33.3,28.4,26.5,96.49779216
Robles, Victor,645302,2022,25,366,82,64,10,2,6,0.224,84.6,15.8,29.2,3.2,3.2,20.6,27.8,28.5,23.8,96.22115258
Devers, Rafael,646240,2022,25,555,164,94,42,1,27,0.295,93.1,11.3,33.1,11.5,7.7,23.9,22.5,32,50.9,103.7842392
Naylor, Josh,647304,2022,25,449,115,67,28,0,20,0.256,89.4,10.3,28.9,8.6,6.4,21.9,23.3,35,42.8,101.0549162
Toro, Abraham,647351,2022,25,324,60,36,13,1,10,0.185,87,16.7,31.2,6.8,4.6,19.4,36.1,30.8,29.7,97.17254735
Diaz, Aledmys,649557,2022,31,305,74,49,13,0,12,0.243,86.6,12.4,30.3,6.3,5.9,24,24.8,30.3,36.8,99.12762921
Urias, Luis,649966,2022,25,406,97,63,17,1,16,0.239,87.3,18,34.3,8.3,5.4,24,31.1,25.3,35.3,97.96486768
Arraez, Luis,650333,2022,25,547,173,133,31,1,8,0.316,88.9,12.9,38.7,3.6,5.7,30.6,27.6,31,30.2,96.19500435
Jimenez, Eloy,650391,2022,25,292,86,58,12,0,16,0.295,92.8,7.4,31.7,14.7,8.5,21.4,14.3,39.7,54.9,103.5456263
Torres, Gleyber,650402,2022,25,526,135,82,28,1,24,0.257,90.4,17.5,36.2,10.7,8.5,23.7,30.4,23.7,45.3,100.5348042
Castro, Willi,650489,2022,25,365,88,60,18,2,8,0.241,84.8,13.9,35.5,3.5,4.2,29.3,25.4,31.4,31.4,97.16575155
Diaz, Yandy,650490,2022,30,473,140,98,33,0,9,0.296,92.2,7.7,30.7,4.8,8.9,26.1,20.5,36.7,49,103.1078382
De La Cruz, Bryan,650559,2022,25,329,83,50,20,0,13,0.252,90.8,9.8,43.6,11.9,6.2,28.4,18.1,31.3,47.3,101.4077736
Rengifo, Luis,650859,2022,25,489,129,86,22,4,17,0.264,86.9,9.9,31.1,5.4,4.9,23.1,23.8,37.7,33.6,98.09743639
Chapman, Matt,656305,2022,29,538,123,68,27,1,27,0.229,92.2,19,34,12.9,8.8,24.1,28.7,22.5,51.2,102.9066062
Chavis, Michael,656308,2022,26,401,92,59,16,3,14,0.229,85.4,11.1,33,7.5,6.1,22.9,24,29.7,38.7,99.52076835
Hoskins, Rhys,656555,2022,29,589,145,80,33,2,30,0.246,90.1,18.1,37.3,11.1,5.9,25.5,30,24.8,44.3,100.842285
Joe, Connor,656582,2022,29,404,96,65,20,4,7,0.238,85.3,10.6,35.1,4.5,3.9,26,25,34.1,33.8,97.62429752
Mullins II, Cedric,656775,2022,27,608,157,105,32,4,16,0.258,88.8,17.4,29.3,4.9,5.9,23,32.4,28.7,37.3,98.89523136
Rivera, Emmanuel,656896,2022,26,330,77,46,16,3,12,0.233,90.4,9.8,32.3,9.3,6,21,23.8,38.3,38.3,99.96019637
Schwarber, Kyle,656941,2022,29,577,126,56,21,3,46,0.218,93.3,19.2,35.4,20.1,8.7,17.4,27.7,21.4,54.4,104.7938573
Smith, Pavin,656976,2022,26,245,54,36,9,0,9,0.22,87.9,15.2,28.7,9.9,3.3,21.5,29.3,30.9,35.9,98.3979178
Thomas, Lane,657041,2022,26,498,120,75,26,2,17,0.241,86.4,12.5,32.6,6.5,5.7,22.4,26.4,33.2,34.5,98.44952228
Verdugo, Alex,657077,2022,26,593,166,115,39,1,11,0.28,89.1,8.4,37.8,6,7.6,27.3,22.8,33.9,38.2,99.11257424
Laureano, Ramon,657656,2022,27,346,73,42,18,0,13,0.211,88.7,14.9,28.9,11.6,4.1,23.6,26.9,29.3,38.4,100.0415383
Sheets, Gavin,657757,2022,26,377,91,57,19,0,15,0.241,88.6,14.8,32.3,6.5,6.1,21.4,29.6,34.7,36.1,98.93534363
Moncada, Yoan,660162,2022,27,397,84,53,18,1,12,0.212,88.7,15.7,35.1,9.8,6.3,22.1,30.2,28.8,37.5,99.51994986
Ohtani, Shohei,660271,2022,27,586,160,90,30,6,34,0.273,92.9,12.1,35,16.8,5.6,24.5,19.9,29.9,49.8,103.8236243
Castillo, Diego,660636,2022,24,262,54,30,13,0,11,0.206,89.1,14.6,37.7,9.9,8.4,21.5,25.7,32.5,38.7,98.73644073
Acuna Jr., Ronald,660670,2022,24,467,124,85,24,0,15,0.266,91.2,10.8,32.8,12.8,6.1,21.8,20.3,32.3,49.7,103.7593181
Ruiz, Keibert,660688,2022,23,394,99,70,22,0,7,0.251,88,14.9,36.3,3.7,7.5,28.8,26.8,28.8,32.3,97.2832479
Gonzalez, Oscar,660757,2022,24,362,107,69,27,0,11,0.296,88.6,5.4,32.5,7.3,4.8,28.4,18.3,36.3,40.1,101.0452609
Yepez, Juan,660766,2022,24,253,64,39,13,0,12,0.253,86.5,17.1,33.2,9.2,5.6,17.3,33.2,28.6,33.7,98.66909102
Sanchez, Jesus,660821,2022,24,313,67,37,14,3,13,0.214,89.5,11,25.7,9.9,3.2,21.2,25.7,35.1,40.5,101.7104571
Contreras, William,661388,2022,24,334,93,58,14,1,20,0.278,90.4,6.1,31.9,13.4,4.7,24.6,15.5,37.1,46.6,102.3349623
Varsho, Daulton,662139,2022,25,531,125,72,23,3,27,0.235,87.7,14.9,33.6,10.2,8.4,16.8,26,30.3,35.6,99.2117259
Nootbaar, Lars,663457,2022,24,290,66,33,16,3,14,0.228,91.7,10.7,30.4,12.1,4.9,22.3,23.2,33.5,46,101.7904003
Hoerner, Nico,663538,2022,25,481,135,98,22,5,10,0.281,87.2,10.6,32.4,2.6,4.7,26.3,24.2,35.9,33.5,97.67897188
Riley, Austin,663586,2022,25,615,168,89,39,2,38,0.273,92.5,12.9,37.7,15.7,8.4,20.2,22.8,29.7,50.8,104.3983002
Mountcastle, Ryan,663624,2022,25,555,139,88,28,1,22,0.25,91.3,15.9,39.5,15,4.7,27,24.3,26.5,46.3,101.9414942
Hayes, Ke'Bryan,663647,2022,25,505,123,89,24,3,7,0.244,91,5.2,30.6,3.9,6.2,27.5,21,38.4,46.8,102.2632138
Tucker, Kyle,663656,2022,25,544,140,81,28,1,30,0.257,90,19,34.4,10.2,10.2,21.7,30.2,25.3,42.4,100.3325604
India, Jonathan,663697,2022,25,386,96,68,16,2,10,0.249,85.1,14.5,36,4.8,4.5,26.7,27.4,30.8,28.8,97.40599669
Bart, Joey,663698,2022,25,261,56,39,6,0,11,0.215,87.3,16.3,32.2,10.1,6,30.9,20.1,22.1,43,101.2897253
Raleigh, Cal,663728,2022,25,370,78,30,20,1,27,0.211,90.9,22.5,36,15.4,8.7,17.8,36.4,19.4,43.5,101.2000736
Grisham, Trent,663757,2022,25,451,83,48,16,2,17,0.184,88.3,15.1,25.5,8.1,5.8,19,28.1,28.4,35.5,99.46593125
Vierling, Matt,663837,2022,25,325,80,60,12,2,6,0.246,91.2,12,35.2,5,7.7,29.9,24.5,31.8,47.1,101.2112128
Rivas III, Alfonso,663845,2022,25,251,59,49,5,2,3,0.235,86.9,4.9,34.7,4.2,3,29.3,19.8,32.3,35.3,98.4498984
Rodgers, Brendan,663898,2022,25,527,140,94,30,3,13,0.266,90,4.6,31.3,7.2,5.6,26.2,17.9,39,45.9,101.127645
Lowe, Nathaniel,663993,2022,26,593,179,123,26,3,27,0.302,90.2,8.2,34.1,9.9,5.2,28,18.4,35,44.8,101.9639162
Happ, Ian,664023,2022,27,573,155,94,42,2,17,0.271,89.7,10.9,29.2,6.5,6.5,24.1,23.8,35.3,40.4,100.3124084
France, Ty,664034,2022,27,551,151,103,27,1,20,0.274,87.6,10,34.8,5.4,5,27.5,21.9,35.3,36.8,99.03516332
Lowe, Brandon,664040,2022,27,235,52,32,10,2,8,0.221,89.4,16.6,35.4,10.3,4.6,20,30.9,29.1,38.9,99.9186569
Bader, Harrison,664056,2022,28,292,73,55,10,3,5,0.25,83.4,16.7,28.4,3.4,5.6,24.1,31.9,26.3,26.3,96.18059603
Moore, Dylan,664238,2022,29,205,46,27,11,2,6,0.224,87.2,20.7,39.4,12.9,7.6,17.4,31.1,22.7,36.4,98.98284769
Straw, Myles,664702,2022,27,535,118,93,22,3,0,0.221,87,9.8,34.1,0.7,4.8,25.1,28.6,35.9,26.5,95.48612453
Isbel, Kyle,664728,2022,25,256,54,35,10,4,5,0.211,89.7,10.6,30.4,4.9,7.1,23.4,25,32.6,44.6,100.4664227
Bohm, Alec,664761,2022,25,586,164,124,24,3,13,0.28,90.2,10.4,37.7,6.8,6,29.8,21.6,33.3,43,100.6498734
Wade Jr., LaMonte,664774,2022,28,217,45,29,7,1,8,0.207,87.7,21.1,33.7,9.5,5.9,19.5,33.7,26,34.3,98.05927131
Brown, Seth,664913,2022,29,500,115,61,26,3,25,0.23,89.2,15.8,34.9,13,5.4,23.4,29.6,24.8,41.4,101.7234293
McCarthy, Jake,664983,2022,24,321,91,64,16,3,8,0.283,87.4,8,32.5,4.8,3.2,25.3,20.5,37.8,33.7,98.23593151
Walsh, Jared,665120,2022,28,423,91,56,18,2,15,0.215,90.1,10.7,34,9.5,6,24.6,22.5,33.3,42.5,100.9311938
Pena, Jeremy,665161,2022,24,521,132,88,20,2,22,0.253,88.1,8.7,32.9,9.7,5.4,25,19.9,33.7,36.7,99.80356365
Celestino, Gilberto,665482,2022,23,311,74,59,12,1,2,0.238,87.3,-1.9,27.1,2.5,4.2,22.9,15.7,47,34.3,98.33701431
Guerrero Jr., Vladimir,665489,2022,23,638,175,108,35,0,32,0.274,92.8,4.3,27.9,11.2,6.8,20.2,17.1,41.6,50.4,105.5070386
Pache, Cristian,665506,2022,23,241,40,30,5,2,3,0.166,89.4,3.8,25.3,3.4,3.4,25.9,16.1,44.8,40.8,100.2077131
Soto, Juan,665742,2022,23,524,127,73,25,2,27,0.242,91,9.1,28.5,12.4,7.2,18.2,22.2,36,47.4,102.2369341
Taveras, Leody,665750,2022,23,314,82,61,14,2,5,0.261,89.3,12,28.7,4.3,3,27.4,28.3,32.2,36.1,99.30702739
Cruz, Oneil,665833,2022,23,331,77,43,13,4,17,0.233,91.9,8.3,30.6,15.5,2.9,18.4,20.4,39.3,46.1,104.6620673
Gimenez, Andres,665926,2022,23,491,146,100,26,3,17,0.297,87.8,11.7,31.3,6.2,6.5,25.6,20.7,32.4,37.8,99.022592
Lux, Gavin,666158,2022,24,421,116,83,20,7,6,0.276,88,6.8,34,6.1,6.1,24,20.4,39.8,39.8,98.88703744
Adell, Jo,666176,2022,23,268,60,38,12,2,8,0.224,87.4,16.7,33.3,9.9,3.1,22.8,27.8,30.9,37.7,99.58918691
Bichette, Bo,666182,2022,24,652,189,121,43,1,24,0.29,91.9,8.5,33.3,9.6,7.2,27.1,17.2,35.5,50.3,102.7431713
Carlson, Dylan,666185,2022,23,432,102,60,30,4,8,0.236,86.1,12.9,35.7,4.4,7.3,22.2,29.8,30.7,27.2,96.29395304
Morel, Christopher,666624,2022,23,379,89,50,19,4,16,0.235,89.6,9.1,30,13.4,5.7,22.3,16.6,34,40.3,101.8199514
Castro, Rodolfo,666801,2022,23,253,59,36,8,4,11,0.233,87.3,11.7,25.6,6.7,7.2,20,21.7,38.3,35,99.31755
Dalbec, Bobby,666915,2022,27,317,68,45,9,2,12,0.215,90.3,15.2,32,11.8,6.4,22.2,28.6,28.1,45.8,101.2465319
Garcia, Adolis,666969,2022,29,605,151,85,34,5,27,0.25,92.1,13.2,36.9,12.9,9.3,22.9,22.9,28.7,47.4,102.3687801
Gurriel Jr., Lourdes,666971,2022,28,453,132,94,32,1,5,0.291,90.6,10.9,34.7,3.8,8.9,30.9,21.8,32.3,45.7,100.3767959
Arozarena, Randy,668227,2022,27,586,154,90,41,3,20,0.263,89.9,8.8,28.2,7.9,5.8,20.1,22.7,40.5,41,101.17822
Knizner, Andrew,668800,2022,27,260,56,42,10,0,4,0.215,86,15.6,28.6,3.5,3.5,26.1,29.6,31.7,33.2,97.69422667
Reynolds, Bryan,668804,2022,27,542,142,92,19,4,27,0.262,90.2,12,35.5,7.9,6,24.8,25.8,31.5,42.9,100.8825786
Rutschman, Adley,668939,2022,24,398,101,52,35,1,13,0.254,87.9,15.6,35.6,7.9,6.7,25.4,27.3,27.9,36.8,99.02813082
Rojas, Josh,668942,2022,28,443,119,84,25,1,9,0.269,88.8,11.9,33.5,4.5,4.8,27.3,26.5,31.3,36.1,98.05044413
Melendez Jr., MJ,669004,2022,23,460,100,58,21,3,18,0.217,90.7,15.1,31,10.4,6.8,23.2,27.1,29.2,43.5,100.5958883
Marsh, Brandon,669016,2022,24,424,104,71,18,4,11,0.245,89.2,10.9,40.8,7.4,7,29.8,21,30.1,38.2,99.62900353
Murphy, Sean,669221,2022,27,537,134,77,37,2,18,0.25,88.7,11.5,34.7,10.5,6.5,23.2,23.4,32.8,41.4,101.0851588
Senzel, Nick,669222,2022,27,373,86,68,13,0,5,0.231,87.2,11.7,35,3.3,5,27.7,24.7,33.3,33.9,97.72590723
Edman, Tommy,669242,2022,27,577,153,105,31,4,13,0.265,88.6,8.7,31.6,6.2,5.1,25.6,20.7,37.2,37.8,98.93164832
Smith, Will,669257,2022,27,508,132,79,26,3,24,0.26,89.9,18.4,36.8,10.3,7.2,23.3,33.4,22.6,43,99.7645651
Suwinski, Jack,669261,2022,23,326,66,36,11,0,19,0.202,88.3,14.3,26.3,12.2,7.5,19.7,25.8,28.6,40.4,100.2212275
Espinal, Santiago,669289,2022,27,449,120,88,25,0,7,0.267,86.1,14.1,33.8,3.4,3.6,25.7,26.8,35.1,31.7,96.8142133
Miranda, Jose,669304,2022,24,444,119,79,25,0,15,0.268,89.3,13.8,34.2,6.2,7.9,26.8,26.3,29.4,42.4,99.81897305
Gorman, Nolan,669357,2022,22,283,64,37,13,0,14,0.226,89.2,20,46.7,14.4,11.7,24.4,29.4,16.7,43.3,100.7038713
Hiura, Keston,669374,2022,25,234,53,30,8,1,14,0.226,91.7,16.1,41.1,15.3,11.3,22.6,22.6,24.2,45.2,103.0030663
Allen, Nick,669397,2022,23,299,62,45,13,0,4,0.207,83.9,7.6,26,1.2,3.3,24,23.1,39.7,22.3,94.3290419
Smith, Josh H.,669701,2022,24,213,42,35,5,0,2,0.197,87,19.2,34.5,2.4,5.4,27.4,35.1,24.4,28.6,96.1248711
Hays, Austin,669720,2022,26,535,134,81,35,2,16,0.25,87.7,11.3,32.3,5.2,7.1,23.3,25.5,35.1,37.7,98.99792243
Lopez, Nicky,670032,2022,27,436,99,83,12,4,0,0.227,84.9,4.9,31.3,1.6,2.9,25,20.6,40.9,22.9,94.94043827
Alvarez, Yordan,670541,2022,25,470,144,76,29,2,37,0.306,95.2,12.3,40.7,21,7.5,23.2,18.1,29.1,59.8,105.6769851
Paredes, Isaac,670623,2022,23,331,68,32,16,0,20,0.205,87.4,15.8,27.4,6.4,6.4,19.2,32,31.6,38.7,98.3555385
Walls, Taylor,670764,2022,25,407,70,42,18,2,8,0.172,86.3,16.6,32.6,6.2,4.8,20.6,33,30.6,28.5,96.12154546
Gonzalez, Luis,670768,2022,26,311,78,55,17,2,4,0.251,86.9,10.9,27,2.9,7.5,21.6,27.4,31.1,32,97.6986764
Friedl Jr., TJ,670770,2022,26,225,54,31,10,5,8,0.24,87.2,19.8,30.9,4.7,6.8,20.4,36.1,23.6,29.8,97.32163411
Garcia, Luis,671277,2022,22,360,99,67,23,2,7,0.275,87.3,5.5,37.4,7.5,7.1,27,14.6,38.8,36.7,98.96362743
Harris II, Michael,671739,2022,21,414,123,74,27,3,19,0.297,89.5,4.5,32.8,10.1,6.8,20.8,12.7,41.9,45.1,102.5816929
Kirk, Alejandro,672386,2022,23,470,134,101,19,0,14,0.285,90.5,8.1,32,6.7,6.5,27.2,20.2,35.3,45.4,101.0533047
Perdomo, Geraldo,672695,2022,22,431,84,67,10,2,5,0.195,85,12.1,28.1,2,2,25.4,25.1,33.6,25.1,95.30518924
Robert Jr., Luis,673357,2022,24,380,108,78,18,0,12,0.284,89.3,10,32.6,8.9,4.9,27.3,22.4,32.9,42.8,101.4542129
Kim, Ha-Seong,673490,2022,26,517,130,87,29,3,11,0.251,86.7,16.1,34,4.2,6.1,24.8,28.5,29.5,32.4,97.64756766
Suzuki, Seiya,673548,2022,27,397,104,66,22,2,14,0.262,89.6,11.2,36.9,11,5.5,22.4,26.2,31,41.3,100.2442689
McCormick, Chas,676801,2022,27,359,88,60,12,2,14,0.245,88.1,12.8,33.5,10.2,4.7,22.8,26.4,30.7,39,98.90310637
Franco, Wander,677551,2022,21,314,87,58,20,3,6,0.277,87.3,8.2,35.1,4.6,4.9,28.1,23.5,34.4,35.8,98.42876741
Rodriguez, Julio,677594,2022,21,511,145,89,25,3,28,0.284,92,10.1,32.7,13.1,8.4,19.3,19.1,36.5,50.7,103.7187958
Thomas, Alek,677950,2022,22,381,88,62,17,1,8,0.231,87.4,2.6,27.9,3.8,6.4,21.5,17.6,47.1,34.6,98.66011818
Witt Jr., Bobby,677951,2022,22,591,150,93,31,6,20,0.254,89.7,16.8,32.5,8.7,4.6,23.6,34.3,26.2,38.6,100.8365068
Torkelson, Spencer,679529,2022,22,360,73,48,16,1,8,0.203,90.5,15,35.4,8.4,8,22.1,27.8,32.7,41.8,100.7437318
Kwan, Steven,680757,2022,24,563,168,130,25,7,6,0.298,85.1,11.8,34.6,1.4,2.6,29.1,29.5,32.6,20.8,94.21905829
Miller, Owen,680911,2022,25,424,103,70,26,1,6,0.243,85.8,10.1,35,3.5,5.6,24.7,27.9,32.6,31.2,97.30611794
Donovan, Brendan,680977,2022,25,391,110,83,21,1,5,0.281,87.7,6,32.7,3.4,4.9,28.7,17.9,40.7,37.7,98.14258882
Stott, Bryson,681082,2022,24,427,100,69,19,2,10,0.234,88.1,13.1,29.4,4.4,4.4,26.5,26.8,33.2,36.8,97.97018994
Abrams, CJ,682928,2022,21,284,70,54,12,2,2,0.246,86.5,6.8,28.6,2.1,4.2,23.1,23.1,39.9,30.7,97.18495374
Greene, Riley,682985,2022,21,376,95,68,18,4,5,0.253,89.5,2.8,32,9.3,5,25.9,13.9,41.3,45.2,102.1451681
Vaughn, Andrew,683734,2022,24,510,138,92,28,1,17,0.271,90.8,7.5,34.1,7.9,10,22.4,17.9,37.2,48.6,101.1629503
Pasquantino, Vinnie,686469,2022,24,258,76,56,10,0,10,0.295,91.2,12.1,34.1,8.8,7.5,26.5,24.3,30.5,46.9,101.1973366
McCutchen, Andrew,457705,2023,36,215,56,40,7,0,9,0.26,89.8,13.4,34.3,7.8,7.8,25.3,27.1,27.1,45.2,100.3811364
Turner, Justin,457759,2023,38,275,78,51,16,0,11,0.284,90.7,14.2,37.7,6.1,11.7,24.2,26.4,30.7,41.6,99.18628362
Santana, Carlos,467793,2023,37,242,55,32,17,0,6,0.227,88.3,13,37.1,4.6,5.7,23.7,27.8,36.1,34,99.26265155
Goldschmidt, Paul,502671,2023,35,286,82,49,20,0,13,0.287,93.2,15.5,34.7,13.9,8.3,24.5,25,24.1,54.6,103.353112
Marte, Starling,516782,2023,34,248,64,53,7,1,3,0.258,88,7.7,32.8,6.1,6.6,24.7,20.2,36.9,37.9,99.69240588
Freeman, Freddie,518692,2023,33,294,95,55,25,1,14,0.323,90.8,15.8,46.7,12.8,7.9,29.8,24.8,22.3,44,100.9721008
Rizzo, Anthony,519203,2023,33,261,70,48,11,0,11,0.268,89.8,19.4,43.7,9.1,7.6,25.9,31.5,22.8,37.6,99.2551701
Perez, Salvador,521692,2023,33,267,72,44,14,0,14,0.27,90.6,16.8,38.2,9.8,9.8,24.5,29.4,22.5,47.1,101.7196753
Semien, Marcus,543760,2023,32,312,86,52,22,2,10,0.276,88.6,18.7,36,5.3,9.8,22,34.8,24.6,40.5,98.51819614
Springer III, George,543807,2023,33,291,76,56,9,1,10,0.261,87.6,9.5,32.4,9.5,3.7,24.5,21.6,34,39.4,100.2667024
Trout, Mike,545361,2023,31,268,67,39,13,0,15,0.25,91.7,19.2,36.1,15.3,6,28.4,25.7,19.7,51.9,104.3172851
Abreu, Jose,547989,2023,36,276,62,47,11,0,4,0.225,88.8,9.4,32.2,5.4,6.3,22.4,25.4,37.1,40.5,100.6187458
Diaz, Elias,553869,2023,32,234,67,44,14,1,8,0.286,88,12,32.6,7.6,4.3,28.8,23.4,30.4,40.2,100.0286673
Suarez, Eugenio,553993,2023,31,267,58,41,10,0,7,0.217,90.5,18.4,35.7,11.5,9.3,24.2,29.1,22,45.6,100.5194403
Arenado, Nolan,571448,2023,32,283,77,50,10,2,15,0.272,88.9,17.6,31.6,7.9,5.7,24.1,30.7,28.5,39.9,99.66938772
Hernandez, Enrique,571771,2023,31,241,54,37,11,0,6,0.224,87.8,16.6,29.8,3.7,4.3,21.3,38.3,29.3,34.6,97.86459213
Muncy, Max,571970,2023,32,209,40,17,5,0,18,0.191,90.6,22.5,27.9,16.4,8.6,16.4,30.7,25,47.9,101.7270227
Walker, Christian,572233,2023,32,273,74,39,20,0,15,0.271,89.4,17.9,30.5,9.3,7.5,18.6,31.4,30.5,43.4,101.3581524
Contreras, Willson,575929,2023,31,242,50,28,14,0,8,0.207,90.9,11.1,33.1,10.5,7.2,19.9,22.1,35.9,44.8,103.3285679
Castellanos, Nick,592206,2023,31,283,88,56,23,1,8,0.311,89.3,11.6,36.1,11.1,8.2,27.9,20.2,28.8,45.7,100.9079513
Drury, Brandon,592273,2023,30,255,68,37,17,2,12,0.267,90.2,13.3,37.4,11.5,6.6,24.2,25.3,29.7,45.6,101.6697741
Machado, Manny,592518,2023,30,233,60,40,11,0,9,0.258,89.5,12.6,28.5,7,7,20.4,28.5,32.3,41.4,101.251137
Realmuto, J.T.,592663,2023,32,237,61,30,18,5,8,0.257,88.5,15.4,36,11.2,4.5,20.8,27.5,32,38.8,100.3427339
Renfroe, Hunter,592669,2023,31,262,64,36,16,0,12,0.244,90.5,15.3,28.9,7.8,6.9,22.1,31.9,28.4,45.6,102.2555573
Yelich, Christian,592885,2023,31,262,70,46,14,1,9,0.267,93,5.8,30.2,10.9,6.3,29.2,14.1,37,55.7,104.2995222
Merrifield, Whit,593160,2023,34,248,74,57,15,0,2,0.298,86.2,13.8,42,2.9,6.8,29.8,28.3,29.8,26.8,95.55123204
Bogaerts, Xander,593428,2023,30,258,66,47,12,0,7,0.256,87.6,5.3,28.6,6.8,4.4,19.9,22.3,41.3,33.5,98.02030941
Profar, Jurickson,595777,2023,30,264,62,38,17,2,5,0.235,86.5,12.9,39.6,4.2,6.1,28.3,25,32.1,32.5,97.38025019
Baez, Javier,595879,2023,30,273,65,47,10,3,5,0.238,88.3,8.8,27.5,3.8,7.1,22.3,21.8,41.7,40.8,100.461769
Lindor, Francisco,596019,2023,29,277,60,27,19,0,14,0.217,91.4,19,39.8,11.8,8.5,20.4,34.1,22.3,45,100.6437286
Candelario, Jeimer,600869,2023,29,265,67,35,22,2,8,0.253,88.5,14.8,38.3,6.2,8.1,23,30.6,27.8,38.3,99.496412
Anderson, Brian,605119,2023,30,239,54,34,10,1,9,0.226,86.3,8.9,32.3,11.6,4.3,21.3,21.3,35.4,34.1,98.95859878
Bell, Josh,605137,2023,30,236,55,34,14,0,7,0.233,89.3,6.5,32.2,8.3,5.6,24.4,20.6,39.4,40.6,100.7183887
Betts, Mookie,605141,2023,30,281,73,40,15,1,17,0.26,92.3,19.5,38.4,10.7,12.5,22.8,29.5,23.2,46.6,100.9022019
Davis, J.D.,605204,2023,30,227,64,42,11,1,10,0.282,91.8,7.3,38.9,11.1,6.8,29.6,13,34.6,50,102.2226841
Hernandez, Teoscar,606192,2023,30,280,71,46,10,2,13,0.254,91.2,15.2,39.2,13.4,8.1,24.7,24.2,26.3,49.5,102.8107358
Marte, Ketel,606466,2023,29,270,78,49,13,4,12,0.289,90.3,9,31.4,9.3,5.8,22.1,21.7,38.1,40.7,100.8144104
Nimmo, Brandon,607043,2023,30,280,78,55,12,4,7,0.279,91.6,8.8,33.8,7.1,7.6,26.2,21.4,33.8,47.1,101.6292748
Turner, Trea,607208,2023,30,305,74,49,16,2,7,0.243,89.3,15.1,37,7,8.3,25.7,29.1,28.3,40.4,99.60118087
Ramirez, Jose,608070,2023,30,279,82,47,20,4,11,0.294,89.2,20.4,34.4,7.8,6.3,23,35.5,23.8,38.7,99.75440883
Bregman, Alex,608324,2023,29,286,71,50,9,2,10,0.248,88.4,20.1,38.8,4.1,12.7,22.9,34.3,25.3,37.6,98.09354463
Meneses, Joey,608841,2023,31,281,82,62,17,1,2,0.292,89.6,8.9,30.5,5.8,4.9,28.3,21.7,35.4,43.8,100.8152696
Swanson, Dansby,621020,2023,29,281,74,52,13,2,7,0.263,89.2,11.7,33,12,6.7,23.4,19.6,34,41.1,100.5015178
Correa, Carlos,621043,2023,28,250,54,27,15,2,10,0.216,88.6,11.8,30.6,12.6,6,18,24,32.2,41,101.1772429
Ward, Taylor,621493,2023,29,258,62,43,10,0,9,0.24,90.8,13.6,33.8,8,7,23.4,27.4,33.3,45.3,100.1140839
Olson, Matt,621566,2023,29,283,65,31,12,1,21,0.23,94.2,16.2,30.1,19.4,8.1,15.6,29,25.3,54.8,105.6504965
Santander, Anthony,623993,2023,28,265,69,37,20,1,11,0.26,90.1,21.5,32.8,10.1,7.1,23.2,34.8,20.7,45.5,101.1932729
