last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,batting_avg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,avg_best_speed
Hernandez, Enrique,571771,2022,30,361,80,50,24,0,6,0.222,87.8,17.3,33.3,5.8,3.4,25.5,33.3,27.6,35,98.79769096
Muncy, Max,571970,2022,31,464,91,47,22,1,21,0.196,90.3,20.9,34.3,13.4,10.3,18.8,33.4,20.1,45.6,100.4884562
Myers, Wil,571976,2022,31,261,68,46,15,0,7,0.261,88.5,13,37.6,7.3,7.9,21.9,26.4,32,37.6,98.80488852
Naquin, Tyler,571980,2022,31,310,71,37,19,4,11,0.229,90.3,14.4,39.9,9.6,6.9,25.7,25.2,26.6,40.8,100.8926083
Pollock, AJ,572041,2022,34,489,120,79,26,1,14,0.245,88.8,11.6,32.9,9.4,5.8,23,23.3,33.4,42,100.4143192
Taylor, Michael A.,572191,2022,31,414,105,83,10,3,9,0.254,86.3,12.1,33.5,6.8,4.8,21.6,29.4,30.6,32.9,98.0051757
Thompson, Trayce,572204,2022,31,219,56,28,14,1,13,0.256,92.2,16.4,45.3,16.4,7.8,27.3,25,21.1,46.9,103.3034491
Voit III, Luke,572228,2022,31,500,113,69,22,0,22,0.226,89.8,18.4,34.6,14.7,8.3,23.2,27.2,21.4,44.3,101.4118716
Walker, Christian,572233,2022,31,583,141,78,25,2,36,0.242,90,17,33.3,11.5,6.5,22,29.4,26.4,44,101.4663712
Dickerson, Corey,572816,2022,33,281,75,51,17,1,6,0.267,87.8,10.6,32.8,3.8,3.8,27.7,23.8,37.4,32.8,97.88866786
Ruf, Darin,573131,2022,35,334,68,45,12,0,11,0.204,89.2,14.8,34.5,8.6,8.2,23.7,28,26.3,40.5,100.4811817
Yastrzemski, Mike,573262,2022,31,485,104,54,31,2,17,0.214,89.9,19.9,36.2,11.1,5.1,21.4,32.8,24.5,42.5,99.83096607
Contreras, Willson,575929,2022,30,416,101,54,23,2,22,0.243,90.4,8.5,30.2,10.5,8.3,21.3,16.5,36.2,48.6,103.2382841
Iglesias, Jose,578428,2022,32,439,128,95,30,0,3,0.292,83.8,6,30.6,0.5,2.3,29,20.5,40.9,27.7,95.59219937
Canha, Mark,592192,2022,33,462,123,86,24,0,13,0.266,87.7,10.9,32.2,4.9,6.8,23.6,24.9,35.2,36.6,98.31769832
Castellanos, Nick,592206,2022,30,524,138,98,27,0,13,0.263,87.5,14.6,36.9,6.6,6.1,26.5,27.5,28.8,35.1,98.39303284
Drury, Brandon,592273,2022,29,518,136,75,31,2,28,0.263,89.1,13.8,34.8,10.4,7.3,22,25.5,29.3,42.2,100.5868921
Gamel, Ben,592325,2022,30,371,86,55,20,2,9,0.232,88.8,11.3,38,6.2,6.2,28.8,24.1,29.6,37.6,99.298905
Judge, Aaron,592450,2022,30,570,177,87,28,0,62,0.311,95.9,15,39,26.5,7.2,20,18.8,26.5,61.8,107.1100727
Machado, Manny,592518,2022,29,578,172,102,37,1,32,0.298,91.5,16,36.7,9.8,9.8,24.4,25.5,27.5,49,102.6227068
Pederson, Joc,592626,2022,30,380,104,59,19,3,23,0.274,93.2,14.8,34.2,15.1,5.6,23.9,27.8,22.9,52.1,103.3473939
Realmuto, J.T.,592663,2022,31,504,139,86,26,5,22,0.276,90.3,13.1,35.6,11.3,6.7,26.7,22.1,30.5,47.2,101.2528936
Renfroe, Hunter,592669,2022,30,474,121,68,23,1,29,0.255,90.5,17.7,32.7,10.9,6.4,21.8,30.4,27.1,43.6,101.6459813
Rosario, Eddie,592696,2022,30,250,53,35,12,1,5,0.212,87.7,15.2,32.4,5.4,5.9,21.1,33.5,28.1,33,97.16129253
Yelich, Christian,592885,2022,30,575,145,102,25,4,14,0.252,91.5,3.6,30.3,8.2,6.7,25.5,13.2,43.3,48.6,102.9848921
Merrifield, Whit,593160,2022,33,504,126,86,28,1,11,0.25,87.1,15.1,37.9,4.2,7.3,23,29.5,30.9,31.1,96.38345986
Bogaerts, Xander,593428,2022,29,557,171,118,38,0,15,0.307,88.1,10.2,30.3,6.5,4.9,27.8,21.7,34.1,39.5,99.97943964
